candidate_id,current_title,ai_skill_count,nontech_title,career_titles
CAND_0002126,Civil Engineer,7,no,Civil Engineer
CAND_0002140,Sales Executive,8,yes,Sales Executive | Mechanical Engineer
CAND_0002243,Graphic Designer,11,yes,Graphic Designer | Sales Executive | Civil Engineer
CAND_0002346,HR Manager,8,yes,HR Manager
CAND_0002393,Graphic Designer,6,yes,Graphic Designer | Operations Manager | Graphic Designer | Accountant
CAND_0002441,Sales Executive,10,yes,Sales Executive | Project Manager | Content Writer | Operations Manager
CAND_0002463,Graphic Designer,9,yes,Graphic Designer | HR Manager
CAND_0002477,Project Manager,8,yes,Project Manager | Marketing Manager | Graphic Designer | Sales Executive
CAND_0002541,Accountant,8,yes,Accountant | Graphic Designer
CAND_0002557,Mechanical Engineer,10,no,Mechanical Engineer | Marketing Manager
CAND_0002563,Marketing Manager,7,yes,Marketing Manager | Graphic Designer | Content Writer
CAND_0002586,Data Analyst,4,no,Data Analyst | Data Engineer
CAND_0002590,Graphic Designer,9,yes,Graphic Designer | Sales Executive
CAND_0002657,Sales Executive,6,yes,Sales Executive | Civil Engineer
CAND_0002697,Customer Support,11,yes,Customer Support | Sales Executive | Operations Manager
CAND_0002706,Junior ML Engineer,4,no,Junior ML Engineer | Junior ML Engineer | ML Engineer
CAND_0002751,Accountant,8,yes,Accountant
CAND_0002800,Graphic Designer,8,yes,Graphic Designer | HR Manager | Operations Manager
CAND_0002813,Civil Engineer,10,no,Civil Engineer
CAND_0002830,Customer Support,9,yes,Customer Support | Graphic Designer | Civil Engineer
CAND_0002881,Content Writer,9,yes,Content Writer | Graphic Designer | Graphic Designer | Sales Executive
CAND_0002963,Civil Engineer,5,no,Civil Engineer | Mechanical Engineer | Sales Executive | Graphic Designer
CAND_0002980,Graphic Designer,6,yes,Graphic Designer | Civil Engineer
CAND_0003004,Accountant,7,yes,Accountant | Operations Manager | Content Writer
CAND_0003067,HR Manager,9,yes,HR Manager
CAND_0003278,Customer Support,10,yes,Customer Support
CAND_0003284,Customer Support,7,yes,Customer Support
CAND_0003291,Accountant,7,yes,Accountant
CAND_0003310,Graphic Designer,10,yes,Graphic Designer
CAND_0003337,Content Writer,8,yes,Content Writer | Business Analyst | Project Manager
CAND_0003397,Mechanical Engineer,10,no,Mechanical Engineer | Business Analyst | Marketing Manager
CAND_0003461,Marketing Manager,8,yes,Marketing Manager | Marketing Manager | Content Writer
CAND_0003501,Accountant,8,yes,Accountant | Operations Manager
CAND_0003505,Accountant,7,yes,Accountant | Customer Support
CAND_0003510,Graphic Designer,6,yes,Graphic Designer | Content Writer | Accountant | Project Manager
CAND_0003575,Data Scientist,6,no,Data Scientist | ML Engineer
CAND_0003612,Mechanical Engineer,7,no,Mechanical Engineer | Sales Executive
CAND_0003644,Marketing Manager,6,yes,Marketing Manager
CAND_0003687,Graphic Designer,12,yes,Graphic Designer
CAND_0003688,HR Manager,7,yes,HR Manager | HR Manager
CAND_0003881,Content Writer,10,yes,Content Writer | Civil Engineer | Content Writer
CAND_0003937,Operations Manager,6,yes,Operations Manager | Civil Engineer | Content Writer | Project Manager
CAND_0004008,Civil Engineer,9,no,Civil Engineer | Operations Manager | Operations Manager
CAND_0004051,Marketing Manager,10,yes,Marketing Manager | Marketing Manager | Accountant | Civil Engineer
CAND_0004098,Accountant,7,yes,Accountant | Marketing Manager
CAND_0004123,Civil Engineer,10,no,Civil Engineer | Accountant
CAND_0004159,Sales Executive,9,yes,Sales Executive | Customer Support
CAND_0004167,Operations Manager,8,yes,Operations Manager | Sales Executive
CAND_0004193,HR Manager,8,yes,HR Manager | Business Analyst
CAND_0004220,Civil Engineer,8,no,Civil Engineer | Accountant | Mechanical Engineer
CAND_0004320,Sales Executive,9,yes,Sales Executive | HR Manager | Accountant | Civil Engineer
CAND_0004344,Customer Support,6,yes,Customer Support
CAND_0004363,Sales Executive,8,yes,Sales Executive
CAND_0004443,Graphic Designer,5,yes,Graphic Designer
CAND_0004449,Sales Executive,9,yes,Sales Executive | Accountant
CAND_0004464,Customer Support,8,yes,Customer Support | Accountant | HR Manager
CAND_0004477,Customer Support,8,yes,Customer Support | Marketing Manager | Civil Engineer | Accountant
CAND_0004500,Accountant,8,yes,Accountant | Business Analyst
CAND_0004541,Backend Engineer,4,no,Backend Engineer | Senior Software Engineer
CAND_0004567,Project Manager,10,yes,Project Manager | Project Manager | Marketing Manager | Content Writer
CAND_0004601,Content Writer,10,yes,Content Writer | Business Analyst | Accountant | Content Writer
CAND_0004620,Business Analyst,11,no,Business Analyst | Content Writer
CAND_0004626,Software Engineer,4,no,Software Engineer | Mobile Developer
CAND_0004641,Accountant,9,yes,Accountant
CAND_0004659,Civil Engineer,7,no,Civil Engineer | Operations Manager | Accountant | Civil Engineer
CAND_0004743,HR Manager,10,yes,HR Manager | Sales Executive | Business Analyst | Marketing Manager
CAND_0004761,Content Writer,8,yes,Content Writer
CAND_0004773,Civil Engineer,9,no,Civil Engineer
CAND_0004883,Business Analyst,10,no,Business Analyst
CAND_0004920,Graphic Designer,6,yes,Graphic Designer | HR Manager
CAND_0004946,Customer Support,10,yes,Customer Support
CAND_0004978,Operations Manager,8,yes,Operations Manager | Project Manager | Civil Engineer | Mechanical Engineer
CAND_0004980,Civil Engineer,11,no,Civil Engineer
CAND_0005060,Project Manager,9,yes,Project Manager | Operations Manager
CAND_0005125,Sales Executive,9,yes,Sales Executive | Content Writer | Civil Engineer | Project Manager
CAND_0005147,Mechanical Engineer,10,no,Mechanical Engineer | Sales Executive | Business Analyst
CAND_0005155,Civil Engineer,5,no,Civil Engineer | Operations Manager | Civil Engineer
CAND_0005248,Civil Engineer,9,no,Civil Engineer | Operations Manager | Sales Executive | Graphic Designer
CAND_0005280,HR Manager,8,yes,HR Manager | Graphic Designer | Customer Support | Mechanical Engineer
CAND_0005357,Operations Manager,8,yes,Operations Manager
CAND_0005414,Civil Engineer,8,no,Civil Engineer | Accountant | Sales Executive | Accountant
CAND_0005458,Business Analyst,9,no,Business Analyst | Customer Support
CAND_0005624,Marketing Manager,10,yes,Marketing Manager | Operations Manager | Operations Manager | Project Manager
CAND_0005638,Marketing Manager,7,yes,Marketing Manager | Business Analyst | Mechanical Engineer | Mechanical Engineer
CAND_0005659,Customer Support,9,yes,Customer Support | Graphic Designer | Marketing Manager
CAND_0005669,HR Manager,7,yes,HR Manager | Accountant | Project Manager
CAND_0005683,Customer Support,7,yes,Customer Support | Sales Executive | Project Manager | Marketing Manager
CAND_0005690,Customer Support,5,yes,Customer Support | Business Analyst | Graphic Designer
CAND_0005691,Marketing Manager,6,yes,Marketing Manager | Mechanical Engineer | Marketing Manager | Business Analyst
CAND_0005716,HR Manager,10,yes,HR Manager | Project Manager | Customer Support | Business Analyst
CAND_0005743,Project Manager,9,yes,Project Manager | Customer Support
CAND_0005783,HR Manager,9,yes,HR Manager | Graphic Designer
CAND_0005836,Accountant,7,yes,Accountant | Sales Executive
CAND_0005851,Content Writer,10,yes,Content Writer | Civil Engineer | Project Manager | Customer Support
CAND_0005876,Project Manager,8,yes,Project Manager | Customer Support
CAND_0005883,Computer Vision Engineer,4,no,Computer Vision Engineer
CAND_0005901,Business Analyst,7,no,Business Analyst
CAND_0005922,Project Manager,8,yes,Project Manager | Content Writer
CAND_0005972,Graphic Designer,6,yes,Graphic Designer | Graphic Designer | Customer Support
CAND_0005981,Project Manager,6,yes,Project Manager | Project Manager
CAND_0006010,Mechanical Engineer,9,no,Mechanical Engineer | Sales Executive | Customer Support
CAND_0006017,Civil Engineer,10,no,Civil Engineer | Project Manager | Project Manager
CAND_0006059,Sales Executive,5,yes,Sales Executive | Operations Manager
CAND_0006090,Operations Manager,9,yes,Operations Manager | Mechanical Engineer | Project Manager
CAND_0006130,Business Analyst,7,no,Business Analyst | Content Writer | Civil Engineer | Sales Executive
CAND_0006158,Mechanical Engineer,8,no,Mechanical Engineer | Project Manager
CAND_0006219,Content Writer,6,yes,Content Writer | Sales Executive | Mechanical Engineer
CAND_0006282,Sales Executive,8,yes,Sales Executive | Graphic Designer
CAND_0006285,Customer Support,11,yes,Customer Support | Business Analyst
CAND_0006348,Graphic Designer,8,yes,Graphic Designer | Graphic Designer | Mechanical Engineer
CAND_0006388,Marketing Manager,7,yes,Marketing Manager | Graphic Designer | Accountant
CAND_0006394,HR Manager,6,yes,HR Manager
CAND_0006395,Graphic Designer,12,yes,Graphic Designer | Marketing Manager | Marketing Manager
CAND_0006467,Project Manager,7,yes,Project Manager
CAND_0006508,Operations Manager,8,yes,Operations Manager | Graphic Designer
CAND_0006512,Mechanical Engineer,9,no,Mechanical Engineer | Customer Support
CAND_0006629,Sales Executive,6,yes,Sales Executive | HR Manager
CAND_0006639,Operations Manager,10,yes,Operations Manager | Mechanical Engineer
CAND_0006826,Sales Executive,10,yes,Sales Executive | Mechanical Engineer | Accountant | Content Writer
CAND_0006957,Marketing Manager,7,yes,Marketing Manager | Operations Manager
CAND_0007017,Accountant,7,yes,Accountant | Accountant
CAND_0007038,Content Writer,10,yes,Content Writer | Marketing Manager | Sales Executive | HR Manager
CAND_0007131,Civil Engineer,10,no,Civil Engineer | Graphic Designer | Customer Support | Graphic Designer
CAND_0007162,Sales Executive,5,yes,Sales Executive | Accountant | Operations Manager | Marketing Manager
CAND_0007177,HR Manager,10,yes,HR Manager | Business Analyst
CAND_0007179,Project Manager,10,yes,Project Manager | Customer Support | Mechanical Engineer | Marketing Manager
CAND_0007180,Content Writer,8,yes,Content Writer
CAND_0007198,Content Writer,10,yes,Content Writer | HR Manager | Business Analyst
CAND_0007309,Civil Engineer,7,no,Civil Engineer | Accountant
CAND_0007351,Business Analyst,9,no,Business Analyst | Business Analyst
CAND_0007377,Sales Executive,6,yes,Sales Executive
CAND_0007400,Operations Manager,7,yes,Operations Manager | Civil Engineer | Graphic Designer | Operations Manager
CAND_0007471,Graphic Designer,10,yes,Graphic Designer | Operations Manager
CAND_0007496,Graphic Designer,10,yes,Graphic Designer | Sales Executive | Content Writer
CAND_0007509,Operations Manager,6,yes,Operations Manager | Project Manager | Business Analyst
CAND_0007546,Accountant,7,yes,Accountant | Mechanical Engineer | Graphic Designer
CAND_0007577,Marketing Manager,6,yes,Marketing Manager
CAND_0007605,Marketing Manager,7,yes,Marketing Manager | Project Manager | Content Writer
CAND_0007620,Civil Engineer,5,no,Civil Engineer | Civil Engineer | Customer Support
CAND_0007632,Graphic Designer,6,yes,Graphic Designer
CAND_0007719,Sales Executive,10,yes,Sales Executive
CAND_0007726,Operations Manager,9,yes,Operations Manager | Sales Executive
CAND_0007794,Project Manager,7,yes,Project Manager | Project Manager | Civil Engineer
CAND_0007827,Customer Support,7,yes,Customer Support | HR Manager | Business Analyst | Content Writer
CAND_0007830,Sales Executive,10,yes,Sales Executive
CAND_0007858,Mechanical Engineer,10,no,Mechanical Engineer | Civil Engineer | Content Writer
CAND_0007860,Operations Manager,9,yes,Operations Manager | HR Manager | HR Manager | Customer Support
CAND_0007867,Mechanical Engineer,6,no,Mechanical Engineer | Accountant
CAND_0007915,Project Manager,8,yes,Project Manager | Sales Executive | Sales Executive | Project Manager
CAND_0007937,Graphic Designer,7,yes,Graphic Designer | Operations Manager | Business Analyst
CAND_0007940,Customer Support,11,yes,Customer Support | Content Writer | Mechanical Engineer | Graphic Designer
CAND_0007965,Sales Executive,10,yes,Sales Executive | HR Manager | Mechanical Engineer | Project Manager
CAND_0007999,Content Writer,9,yes,Content Writer | Mechanical Engineer | Project Manager
CAND_0008030,Customer Support,9,yes,Customer Support
CAND_0008034,Business Analyst,6,no,Business Analyst | Operations Manager
CAND_0008042,Software Engineer,4,no,Software Engineer
CAND_0008094,Content Writer,10,yes,Content Writer | Content Writer | Project Manager | Operations Manager
CAND_0008102,Sales Executive,10,yes,Sales Executive | Operations Manager | Accountant
CAND_0008149,Sales Executive,8,yes,Sales Executive
CAND_0008198,Software Engineer,4,no,Software Engineer
CAND_0008227,Business Analyst,5,no,Business Analyst | Accountant
CAND_0008252,Civil Engineer,7,no,Civil Engineer | Graphic Designer
CAND_0008285,Customer Support,8,yes,Customer Support | Customer Support
CAND_0008328,Civil Engineer,7,no,Civil Engineer | Operations Manager
CAND_0008375,Content Writer,9,yes,Content Writer
CAND_0008414,Sales Executive,6,yes,Sales Executive
CAND_0008429,HR Manager,9,yes,HR Manager | Marketing Manager
CAND_0008451,Civil Engineer,11,no,Civil Engineer | Civil Engineer
CAND_0008458,Customer Support,10,yes,Customer Support
CAND_0008536,Accountant,9,yes,Accountant | Accountant
CAND_0008593,HR Manager,10,yes,HR Manager | Customer Support
CAND_0008597,Mechanical Engineer,7,no,Mechanical Engineer
CAND_0008606,Accountant,7,yes,Accountant
CAND_0008636,Customer Support,8,yes,Customer Support | Operations Manager | Project Manager | Accountant
CAND_0008679,Graphic Designer,5,yes,Graphic Designer | Marketing Manager | Business Analyst | Customer Support
CAND_0008794,Sales Executive,8,yes,Sales Executive | Project Manager | Sales Executive | Operations Manager
CAND_0008809,Operations Manager,7,yes,Operations Manager | Graphic Designer
CAND_0008810,Customer Support,8,yes,Customer Support | Accountant | Marketing Manager
CAND_0008883,Customer Support,8,yes,Customer Support | Mechanical Engineer
CAND_0008906,Civil Engineer,7,no,Civil Engineer
CAND_0008908,Business Analyst,8,no,Business Analyst | Customer Support | Graphic Designer | Project Manager
CAND_0008937,Operations Manager,6,yes,Operations Manager | Content Writer | Mechanical Engineer | Operations Manager
CAND_0008963,Project Manager,9,yes,Project Manager | Operations Manager | Marketing Manager
CAND_0008989,Marketing Manager,6,yes,Marketing Manager
CAND_0008995,HR Manager,5,yes,HR Manager | Marketing Manager | HR Manager | Operations Manager
CAND_0009048,Business Analyst,8,no,Business Analyst | Accountant | Sales Executive | Content Writer
CAND_0009058,Civil Engineer,10,no,Civil Engineer | Business Analyst | Content Writer | Business Analyst
CAND_0009080,Content Writer,10,yes,Content Writer
CAND_0009091,Graphic Designer,7,yes,Graphic Designer | Customer Support | Graphic Designer | Sales Executive
CAND_0009116,Mechanical Engineer,7,no,Mechanical Engineer | Operations Manager
CAND_0009169,Project Manager,9,yes,Project Manager | Graphic Designer
CAND_0009190,HR Manager,10,yes,HR Manager
CAND_0009198,Customer Support,10,yes,Customer Support
CAND_0009213,Graphic Designer,6,yes,Graphic Designer | Mechanical Engineer | Civil Engineer
CAND_0009229,Operations Manager,8,yes,Operations Manager
CAND_0009352,Marketing Manager,7,yes,Marketing Manager | Operations Manager | Mechanical Engineer | Mechanical Engineer
CAND_0009487,Content Writer,8,yes,Content Writer
CAND_0009507,Customer Support,9,yes,Customer Support | Mechanical Engineer | Business Analyst | Marketing Manager
CAND_0009531,Customer Support,9,yes,Customer Support | Mechanical Engineer | Business Analyst | Marketing Manager
CAND_0009539,Mechanical Engineer,9,no,Mechanical Engineer | HR Manager
CAND_0009610,HR Manager,7,yes,HR Manager | Graphic Designer | Customer Support | Mechanical Engineer
CAND_0009678,Customer Support,9,yes,Customer Support
CAND_0009679,Project Manager,8,yes,Project Manager
CAND_0009759,HR Manager,9,yes,HR Manager | Civil Engineer | Project Manager | Accountant
CAND_0009853,Mechanical Engineer,9,no,Mechanical Engineer | HR Manager | Customer Support
CAND_0009928,Sales Executive,9,yes,Sales Executive
CAND_0009942,Graphic Designer,8,yes,Graphic Designer | Accountant | Content Writer
CAND_0009986,Business Analyst,11,no,Business Analyst | Mechanical Engineer
CAND_0009997,Customer Support,11,yes,Customer Support | Customer Support | Business Analyst | Accountant
CAND_0010043,Civil Engineer,8,no,Civil Engineer | Customer Support | Customer Support | Content Writer
CAND_0010051,Accountant,8,yes,Accountant | Graphic Designer | Accountant | Civil Engineer
CAND_0010202,Accountant,10,yes,Accountant | Marketing Manager | Sales Executive
CAND_0010207,HR Manager,11,yes,HR Manager | Customer Support
CAND_0010249,Content Writer,8,yes,Content Writer | Civil Engineer | Civil Engineer | Project Manager
CAND_0010267,Marketing Manager,10,yes,Marketing Manager | HR Manager
CAND_0010283,AI Specialist,4,no,AI Specialist | Junior ML Engineer | ML Engineer
CAND_0010363,Operations Manager,8,yes,Operations Manager
CAND_0010405,Content Writer,8,yes,Content Writer | Graphic Designer | Graphic Designer | Business Analyst
CAND_0010527,Content Writer,9,yes,Content Writer | Operations Manager
CAND_0010569,Accountant,7,yes,Accountant
CAND_0010596,Civil Engineer,10,no,Civil Engineer
CAND_0010621,Sales Executive,10,yes,Sales Executive
CAND_0010689,Graphic Designer,8,yes,Graphic Designer
CAND_0010756,Business Analyst,8,no,Business Analyst | Mechanical Engineer
CAND_0010757,Mechanical Engineer,8,no,Mechanical Engineer | Civil Engineer
CAND_0010815,Business Analyst,8,no,Business Analyst | HR Manager | Graphic Designer
CAND_0010817,Operations Manager,10,yes,Operations Manager | Accountant
CAND_0010846,Project Manager,11,yes,Project Manager
CAND_0010848,Civil Engineer,8,no,Civil Engineer | Mechanical Engineer
CAND_0010868,Marketing Manager,6,yes,Marketing Manager | Project Manager | Operations Manager | Content Writer
CAND_0010901,Civil Engineer,8,no,Civil Engineer | Marketing Manager | Content Writer | Mechanical Engineer
CAND_0010911,Graphic Designer,11,yes,Graphic Designer | Marketing Manager | Civil Engineer | Graphic Designer
CAND_0010936,Operations Manager,7,yes,Operations Manager
CAND_0010971,Accountant,7,yes,Accountant | Marketing Manager | Accountant | Operations Manager
CAND_0010993,Business Analyst,8,no,Business Analyst | Mechanical Engineer
CAND_0011095,Customer Support,8,yes,Customer Support | Marketing Manager
CAND_0011104,HR Manager,8,yes,HR Manager | Operations Manager | Customer Support | Content Writer
CAND_0011107,Operations Manager,7,yes,Operations Manager | Civil Engineer | Graphic Designer | Sales Executive
CAND_0011110,Customer Support,7,yes,Customer Support
CAND_0011141,Mechanical Engineer,6,no,Mechanical Engineer | Content Writer
CAND_0011154,Marketing Manager,7,yes,Marketing Manager | Project Manager
CAND_0011155,HR Manager,9,yes,HR Manager | Sales Executive
CAND_0011160,Operations Manager,7,yes,Operations Manager
CAND_0011171,Business Analyst,9,no,Business Analyst
CAND_0011174,Project Manager,6,yes,Project Manager | Accountant | Accountant | Content Writer
CAND_0011199,Mechanical Engineer,10,no,Mechanical Engineer | Operations Manager
CAND_0011253,Project Manager,6,yes,Project Manager | Graphic Designer | Civil Engineer
CAND_0011284,Operations Manager,9,yes,Operations Manager | HR Manager | Graphic Designer | Civil Engineer
CAND_0011303,Marketing Manager,8,yes,Marketing Manager | Content Writer | Business Analyst
CAND_0011306,Sales Executive,9,yes,Sales Executive | Business Analyst | Marketing Manager | HR Manager
CAND_0011333,Sales Executive,8,yes,Sales Executive | Business Analyst | Customer Support
CAND_0011383,Mechanical Engineer,8,no,Mechanical Engineer | Project Manager
CAND_0011441,Business Analyst,10,no,Business Analyst | Marketing Manager | Mechanical Engineer
CAND_0011450,Graphic Designer,9,yes,Graphic Designer | Civil Engineer | Sales Executive | Civil Engineer
CAND_0011476,Business Analyst,10,no,Business Analyst | Customer Support | Sales Executive
CAND_0011505,Operations Manager,8,yes,Operations Manager | Graphic Designer | Civil Engineer | Operations Manager
CAND_0011576,Mechanical Engineer,9,no,Mechanical Engineer
CAND_0011588,Accountant,10,yes,Accountant | Sales Executive
CAND_0011726,Marketing Manager,6,yes,Marketing Manager | Content Writer
CAND_0011738,Customer Support,8,yes,Customer Support | HR Manager
CAND_0011758,Civil Engineer,8,no,Civil Engineer
CAND_0011766,Civil Engineer,5,no,Civil Engineer | Project Manager
CAND_0011878,Customer Support,7,yes,Customer Support | Operations Manager
CAND_0011954,Graphic Designer,9,yes,Graphic Designer
CAND_0012086,Sales Executive,7,yes,Sales Executive | Business Analyst | Content Writer
CAND_0012093,Sales Executive,9,yes,Sales Executive | Mechanical Engineer
CAND_0012102,Marketing Manager,6,yes,Marketing Manager
CAND_0012114,Data Analyst,4,no,Data Analyst | Data Engineer
CAND_0012209,HR Manager,11,yes,HR Manager | Business Analyst
CAND_0012256,Mechanical Engineer,7,no,Mechanical Engineer | Civil Engineer | Sales Executive
CAND_0012278,Data Analyst,4,no,Data Analyst
CAND_0012287,Marketing Manager,10,yes,Marketing Manager | Graphic Designer | Project Manager | Sales Executive
CAND_0012315,Marketing Manager,11,yes,Marketing Manager | Operations Manager
CAND_0012324,Project Manager,9,yes,Project Manager | HR Manager
CAND_0012408,Content Writer,7,yes,Content Writer | Customer Support
CAND_0012449,HR Manager,7,yes,HR Manager | Business Analyst | Business Analyst | Content Writer
CAND_0012467,Civil Engineer,7,no,Civil Engineer
CAND_0012491,Civil Engineer,7,no,Civil Engineer | Customer Support | Customer Support | Marketing Manager
CAND_0012498,HR Manager,10,yes,HR Manager | HR Manager | Business Analyst | Civil Engineer
CAND_0012502,Accountant,10,yes,Accountant | Marketing Manager | Operations Manager
CAND_0012510,Marketing Manager,8,yes,Marketing Manager | Sales Executive | Content Writer | Sales Executive
CAND_0012598,HR Manager,8,yes,HR Manager | Project Manager | Civil Engineer | Business Analyst
CAND_0012610,Customer Support,10,yes,Customer Support | Accountant | Customer Support | Graphic Designer
CAND_0012660,Marketing Manager,8,yes,Marketing Manager | Civil Engineer | Business Analyst | Operations Manager
CAND_0012779,Mechanical Engineer,6,no,Mechanical Engineer | Operations Manager
CAND_0012799,Mechanical Engineer,11,no,Mechanical Engineer | Mechanical Engineer
CAND_0012863,Marketing Manager,7,yes,Marketing Manager | Marketing Manager | Business Analyst
CAND_0012868,Marketing Manager,6,yes,Marketing Manager
CAND_0013005,Project Manager,8,yes,Project Manager | Customer Support
CAND_0013015,Sales Executive,9,yes,Sales Executive | Marketing Manager | Civil Engineer | Sales Executive
CAND_0013138,Content Writer,7,yes,Content Writer | Graphic Designer | Mechanical Engineer | HR Manager
CAND_0013154,Mechanical Engineer,9,no,Mechanical Engineer | Operations Manager | Sales Executive | Business Analyst
CAND_0013163,Business Analyst,7,no,Business Analyst | Project Manager | Mechanical Engineer | Operations Manager
CAND_0013185,Business Analyst,6,no,Business Analyst
CAND_0013201,Content Writer,7,yes,Content Writer | HR Manager | Business Analyst | Operations Manager
CAND_0013229,Mechanical Engineer,10,no,Mechanical Engineer | Sales Executive
CAND_0013264,Civil Engineer,8,no,Civil Engineer
CAND_0013315,HR Manager,9,yes,HR Manager | Business Analyst
CAND_0013316,Marketing Manager,9,yes,Marketing Manager | Sales Executive | Business Analyst | Mechanical Engineer
CAND_0013322,Business Analyst,10,no,Business Analyst | Project Manager
CAND_0013371,Marketing Manager,8,yes,Marketing Manager | Business Analyst
CAND_0013472,Sales Executive,7,yes,Sales Executive
CAND_0013523,Operations Manager,9,yes,Operations Manager | Business Analyst | Content Writer
CAND_0013533,HR Manager,5,yes,HR Manager
CAND_0013636,Project Manager,7,yes,Project Manager | Customer Support
CAND_0013708,Accountant,9,yes,Accountant | Mechanical Engineer
CAND_0013749,Mechanical Engineer,9,no,Mechanical Engineer | HR Manager | Graphic Designer | Project Manager
CAND_0013771,Accountant,10,yes,Accountant
CAND_0013810,Civil Engineer,10,no,Civil Engineer | Mechanical Engineer | Graphic Designer | Civil Engineer
CAND_0013814,Customer Support,9,yes,Customer Support | Graphic Designer | Mechanical Engineer
CAND_0013842,Civil Engineer,9,no,Civil Engineer | Civil Engineer | Accountant
CAND_0013852,Accountant,6,yes,Accountant | Civil Engineer | Mechanical Engineer | Civil Engineer
CAND_0013890,Business Analyst,10,no,Business Analyst
CAND_0013950,Mechanical Engineer,9,no,Mechanical Engineer
